Site_Name,Date_Survey By Year,First Of Name_Invert,Sum Of No_Invert,Avg Of No_Invert
Chambani,2017,Dondo,34,11.3333333333333
Chambani,2017,Kombe,32,10.6666666666667
Chambani,2017,Kururu,38,12.6666666666667
Chambani,2017,Mapoe ndogo,96,32
Chambani,2017,Matukombe,32,10.6666666666667
Chambani,2018,Dondo,22,7.33333333333333
Chambani,2018,Kiti cha Pweza,25,8.33333333333333
Chambani,2018,Kombe,29,9.66666666666667
Chambani,2018,Kururu,33,11
Chambani,2018,Mapoe ndogo,111,37
Chambani,2018,Matukombe,38,12.6666666666667
Kadhikia Fawachu,2017,Jongoo,18,6
Kadhikia Fawachu,2017,Kiti cha Pweza,27,9
Kadhikia Fawachu,2017,Kombe,22,7.33333333333333
Kadhikia Fawachu,2017,Madole,22,7.33333333333333
Kadhikia Fawachu,2017,Mapoe kubwa,57,19
Kadhikia Fawachu,2018,Jongoo,43,10.75
Kadhikia Fawachu,2018,Kiti cha Pweza,41,10.25
Kadhikia Fawachu,2018,Kombe,32,8
Kadhikia Fawachu,2018,Madole,33,8.25
Kadhikia Fawachu,2018,Mapoe kubwa,85,21.25
Kadhikia Fawachu,2018,Punda milia,10,3.33333333333333
Saggaf,2017,Dondo,15,5
Saggaf,2017,Jongoo,9,3
Saggaf,2017,Kombe,14,14
Saggaf,2017,Kururu,39,13
Saggaf,2017,Madole,37,12.3333333333333
Saggaf,2017,Mapoe kubwa,71,23.6666666666667
Saggaf,2017,Mapoe ndogo,104,34.6666666666667
Saggaf,2018,Dondo,20,10
Saggaf,2018,Jongoo,14,7
Saggaf,2018,Kururu,31,15.5
Saggaf,2018,Madole,13,13
Saggaf,2018,Mapoe kubwa,54,27
Saggaf,2018,Mapoe ndogo,85,42.5
